pct16,pres_clinton,pres_trump,pres_johnson,pres_stein,pres_lariva,pres_other,ussenate_harris,ussenate_sanchez,prop51_yes,prop51_no,prop52_yes,prop52_no,prop53_yes,prop53_no,prop54_yes,prop54_no,prop55_yes,prop55_no,prop56_yes,prop56_no,prop57_yes,prop57_no,prop58_yes,prop58_no,prop59_yes,prop59_no,prop60_yes,prop60_no,prop61_yes,prop61_no,prop62_yes,prop62_no,prop63_yes,prop63_no,prop64_yes,prop64_no,prop65_yes,prop65_no,prop66_yes,prop66_no,prop67_yes,prop67_no
083-10-1002,56,17,3,1,0,0,48,16,42,31,49,20,33,36,47,23,46,27,59,17,66,9,56,19,47,21,35,33,48,22,52,22,61,16,60,17,35,40,23,46,57,18
083-10-1003,5,2,0,0,0,0,4,1,5,2,5,2,4,3,4,3,5,2,5,2,5,2,5,2,5,2,2,3,5,2,5,1,5,2,3,4,1,6,1,5,4,2
083-10-1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
083-10-1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
083-10-1006,62,14,0,1,0,0,57,13,50,19,55,13,29,42,50,19,55,17,56,19,64,11,66,11,51,19,41,27,45,25,50,23,61,12,59,17,18,52,20,49,65,12
083-10-1007,55,22,1,1,0,3,46,22,42,35,58,20,41,38,64,15,45,34,56,25,60,15,65,16,50,31,41,39,42,36,50,30,67,15,52,25,39,38,37,36,55,26
083-10-1008,15,12,0,0,0,1,15,10,13,15,17,11,15,13,23,5,14,14,18,10,18,10,17,11,19,9,15,11,15,13,14,13,12,16,21,7,7,21,10,18,15,13
083-10-1009,8,0,0,0,0,0,7,0,5,3,7,1,4,4,5,3,7,1,6,2,5,2,4,3,3,4,2,5,3,4,4,3,8,0,6,2,4,4,1,6,4,3
083-10-1010,12,5,1,0,0,1,12,4,10,6,10,6,6,11,8,7,8,8,13,3,10,5,10,6,6,9,3,12,7,10,9,8,9,7,12,6,8,8,9,6,11,6
083-10-1011,2,2,0,0,0,0,2,0,1,3,3,1,2,2,3,1,2,2,2,2,3,1,3,1,2,2,1,1,3,1,2,2,2,2,3,1,1,3,1,2,2,2
083-10-1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
083-10-1013,4,45,0,0,0,1,13,16,17,30,32,13,29,13,40,5,11,35,12,35,13,33,24,22,19,26,17,30,13,31,7,39,2,46,20,29,13,32,24,21,13,34
083-10-1014,38,93,9,2,1,4,53,48,51,97,73,73,93,55,90,57,74,75,57,92,75,74,80,71,45,93,49,85,42,99,41,106,37,113,59,92,43,99,66,72,42,99
083-10-1510,417,219,23,10,2,25,369,205,342,336,444,217,314,339,455,206,353,319,458,224,484,190,482,196,367,278,309,340,326,319,375,288,439,241,394,286,311,359,297,336,453,224
083-10-1520,257,145,14,8,0,6,216,139,211,191,261,133,178,215,268,132,241,161,298,117,294,106,299,109,224,154,188,203,205,179,231,174,282,135,265,152,179,218,165,209,279,132
083-10-1530,543,219,24,10,2,23,489,200,407,367,531,223,340,410,524,238,457,317,562,238,581,192,597,191,469,283,338,421,400,362,464,304,573,223,551,249,355,424,287,450,537,245
083-10-1560,442,200,28,11,0,18,417,177,327,349,458,199,291,360,447,216,346,327,511,180,521,161,509,171,394,253,306,349,351,303,408,265,521,162,455,235,326,347,278,367,463,214
083-10-1570,405,251,23,4,2,31,378,221,304,393,464,207,319,354,480,193,273,419,505,205,450,243,470,235,343,332,291,375,319,351,380,306,476,223,393,310,276,413,291,353,448,243
083-10-1580,428,235,24,6,1,15,400,185,334,356,459,219,307,354,465,204,296,394,507,197,479,213,495,201,346,301,274,383,323,338,360,311,480,215,414,283,300,373,293,350,443,242
083-10-1590,432,241,28,9,1,15,406,203,334,351,446,223,298,377,477,206,320,369,496,203,485,208,506,200,345,327,295,370,322,343,408,281,503,203,404,303,292,405,279,374,462,239
083-10-1610,504,197,31,13,3,25,473,198,382,375,517,213,327,403,530,211,397,354,568,201,570,181,565,191,436,284,325,393,388,328,463,278,573,192,494,269,315,426,303,404,522,232
083-10-1630,579,126,16,6,0,11,514,143,427,272,531,159,246,438,484,200,515,190,553,167,601,108,551,156,505,177,320,363,424,256,511,197,585,137,546,178,296,404,205,462,550,161
083-10-1640,412,93,12,9,0,5,360,103,286,220,377,120,189,312,352,141,343,165,431,89,418,91,415,94,364,131,235,264,315,179,366,149,412,104,407,115,210,297,150,333,402,110
083-11-1010,499,155,18,11,2,18,400,222,401,272,506,159,313,346,410,246,500,168,505,182,525,160,546,131,414,224,343,318,357,297,411,263,518,166,453,234,345,318,277,369,513,171
083-11-1020,566,222,24,15,2,20,491,237,461,351,588,218,376,412,510,269,556,254,574,255,594,220,586,225,484,285,373,402,437,338,478,331,575,246,539,294,404,391,305,437,566,249
083-11-1030,438,217,27,11,2,12,376,233,351,347,472,213,328,351,453,226,442,244,489,212,483,214,482,213,371,291,318,357,324,346,373,319,460,247,426,287,313,375,289,370,462,235
083-11-1040,536,177,20,19,1,15,402,270,457,274,568,157,340,361,473,239,531,192,535,211,564,179,605,134,469,223,353,359,439,262,430,299,536,206,517,234,409,325,277,413,535,208
083-11-1070,377,166,12,19,6,19,298,244,319,263,400,177,261,304,343,219,356,211,383,199,401,180,446,135,312,241,264,304,267,287,280,294,385,196,329,264,269,308,258,296,367,214
083-11-1080,409,191,30,15,4,21,320,266,377,268,448,188,300,330,421,205,403,233,429,231,445,199,470,180,343,254,274,340,324,308,357,290,431,228,410,250,328,307,286,324,406,247
083-12-0020,5,2,2,0,0,0,4,5,4,5,6,3,5,4,7,1,2,7,8,1,6,3,9,0,7,2,4,4,7,1,5,4,8,1,7,2,4,5,2,6,7,2
083-12-1110,208,28,9,7,1,6,148,86,184,64,188,48,115,111,148,91,183,57,194,58,207,35,218,27,176,55,108,137,161,76,162,76,199,47,196,55,139,103,85,146,194,50
083-12-1120,215,86,10,12,1,7,167,102,167,145,213,92,151,153,237,70,196,116,231,92,244,76,250,70,201,105,152,152,186,123,186,129,219,96,226,93,149,170,132,160,217,100
083-12-1130,583,84,25,24,4,17,361,308,517,195,562,130,322,355,456,229,557,140,551,169,572,135,604,101,477,200,379,313,438,253,437,254,573,141,513,210,433,270,285,377,527,186
083-12-1170,639,103,13,11,6,12,427,287,523,218,589,142,295,415,467,259,591,154,584,176,619,126,625,117,526,188,359,365,462,260,498,241,586,164,569,188,370,365,265,435,554,194
083-12-1180,523,89,16,11,0,5,387,179,380,222,464,117,242,328,408,173,470,132,484,134,507,93,519,86,417,149,244,340,360,208,423,174,497,114,497,124,323,275,185,382,469,132
083-12-1190,360,70,12,5,0,7,307,98,256,156,309,100,158,249,261,144,296,130,363,77,364,63,336,82,302,107,156,256,256,153,301,124,335,91,340,99,185,236,119,279,337,94
083-12-1210,764,127,23,31,7,13,603,271,638,282,741,167,328,553,591,297,726,192,713,215,760,161,779,146,642,236,417,484,537,332,631,278,748,177,736,201,469,447,310,554,714,207
083-12-1216,32,14,2,0,0,2,34,15,26,24,38,9,29,18,35,12,29,21,37,12,39,10,37,12,29,17,19,25,27,18,33,15,37,12,38,12,24,23,29,19,34,14
083-12-1218,55,17,5,0,0,1,53,18,38,36,53,19,28,41,48,23,49,23,58,18,55,17,59,14,46,22,36,34,45,25,48,24,55,21,46,30,29,43,24,41,50,22
083-12-1219,10,3,0,0,0,0,8,4,5,6,8,4,2,10,4,8,6,5,8,6,6,6,7,5,8,4,2,8,7,7,5,7,8,6,8,4,7,6,4,8,8,4
083-12-1220,711,110,28,23,4,17,586,220,569,291,660,179,304,525,538,302,674,187,698,178,741,123,720,141,616,219,386,462,548,273,614,241,719,151,712,167,393,466,261,546,688,175
083-12-1230,630,111,25,37,4,12,510,211,535,242,613,143,291,447,495,255,590,168,588,197,659,113,643,127,531,204,328,439,481,264,541,224,608,162,636,161,387,383,250,473,589,191
083-12-1240,295,41,12,7,0,2,186,124,232,100,260,57,132,179,213,102,262,68,260,81,273,59,272,58,224,94,164,160,213,99,220,110,270,59,265,80,179,151,120,193,254,90
083-12-1260,525,123,14,19,5,18,377,253,462,204,513,138,280,344,400,236,514,142,511,166,549,113,576,94,450,194,351,302,382,263,406,248,509,151,483,193,357,301,247,379,473,189
083-12-1280,639,104,34,22,1,18,554,185,499,290,603,164,257,485,514,244,592,193,633,179,658,130,660,126,585,173,355,412,490,275,564,225,654,147,649,157,340,446,242,506,611,186
083-12-1290,571,147,24,10,3,8,499,168,414,323,534,181,257,449,494,218,454,275,588,163,598,146,578,151,478,223,316,377,426,273,494,236,576,170,514,223,275,456,218,474,543,189
083-12-1310,629,87,16,13,3,11,400,292,524,205,590,136,295,412,438,263,570,156,565,176,610,124,632,100,516,193,345,377,465,254,495,226,580,145,531,201,403,319,258,427,545,190
083-12-1320,613,85,17,9,5,9,377,301,504,201,567,125,282,388,429,251,552,141,551,165,580,128,593,110,478,203,383,309,446,238,466,226,556,147,506,209,365,321,230,436,532,175
083-12-1340,599,91,15,18,2,10,339,328,507,197,538,153,305,362,410,259,533,156,542,172,582,114,591,101,435,224,358,316,413,256,443,237,529,159,497,200,407,273,254,407,501,191
083-12-1370,752,224,29,15,1,21,653,272,590,420,722,259,416,559,717,265,654,354,787,232,778,229,787,215,657,320,496,490,615,368,611,386,788,225,736,283,450,558,371,586,716,285
083-12-1380,493,252,30,14,2,20,485,227,349,453,523,247,370,408,580,206,398,402,557,252,559,242,551,246,444,327,351,416,408,364,446,339,562,245,494,311,342,449,328,417,496,293
083-12-1390,345,120,16,11,1,12,325,102,272,216,330,137,190,275,352,110,286,195,371,124,367,115,364,119,317,150,202,264,268,204,295,181,366,123,352,146,182,300,170,283,341,148
083-12-1430,667,154,30,12,1,15,594,207,502,347,649,181,292,529,537,294,567,280,671,199,667,182,664,187,556,262,374,450,482,333,591,250,659,204,633,233,369,483,265,534,648,205
083-12-1440,263,105,13,9,1,9,235,103,200,188,274,98,161,203,275,100,234,151,283,106,273,113,286,98,221,151,166,203,224,146,238,146,290,102,242,149,166,214,160,200,260,118
083-12-1460,454,146,21,11,4,14,416,156,331,293,415,195,247,355,423,178,410,211,473,167,458,162,455,171,386,211,272,335,336,265,396,222,467,159,415,223,262,365,229,351,460,169
083-12-1470,564,224,37,16,3,21,526,226,450,388,592,219,328,479,559,246,481,353,606,241,609,214,608,225,497,303,331,469,451,349,503,316,597,232,547,292,349,474,302,486,572,258
083-20-2005,170,66,9,14,2,7,185,55,149,117,197,67,101,158,202,59,190,75,186,80,219,47,214,51,187,68,125,138,177,84,184,83,181,86,207,58,107,161,73,180,199,68
083-20-2009,137,99,10,5,1,7,130,82,127,122,158,85,129,108,168,75,114,136,166,87,168,82,168,79,138,102,106,139,126,114,133,115,151,105,166,91,121,127,105,132,145,107
083-20-2010,14,2,1,0,0,0,16,1,11,7,13,4,4,14,15,3,12,6,18,0,12,6,9,7,6,10,10,6,7,9,11,5,13,3,11,7,7,11,4,12,16,2
083-20-2011,25,25,0,1,0,2,28,16,20,29,35,13,25,23,31,19,27,23,25,29,27,23,32,16,23,25,22,26,27,22,15,36,23,29,29,25,24,26,24,25,24,28
083-20-2021,127,49,5,3,1,2,110,56,95,82,131,44,89,81,130,46,115,64,130,56,136,43,130,50,105,67,73,105,100,68,108,74,124,56,132,55,93,85,63,105,120,61
